Player Name,Number_Identifier,games_played,goals,assists,points,Points.Per.Game,Hall.Of.Famer,X100..Games..Player.,X500..Games..Player.,X1000..Games..Player.,X500..Points,X1000..Points,Top15Pick,Cluster
Dennis Owchar,10393,288,30,85,115,0.399305556,0,1,0,0,0,0,0,4
Paul Byron,3050,521,98,110,208,0.399232246,0,1,1,0,0,0,0,4
Josef Vasicek,5091,460,77,106,183,0.397826087,0,1,0,0,0,0,0,4
Tom Chorske,8043,596,115,122,237,0.397651007,0,1,1,0,0,0,0,4
Mike Craig,7134,423,71,97,168,0.397163121,0,1,0,0,0,0,0,4
Bill Lochead,10129,330,69,62,131,0.396969697,0,1,0,0,0,0,1,4
Jiri Tlusty,3089,446,89,88,177,0.396860987,0,1,0,0,0,0,1,4
Nigel Dawes,3866,212,39,45,84,0.396226415,0,1,0,0,0,0,0,4
Richard Mulhern,9937,303,27,93,120,0.396039604,0,1,0,0,0,0,1,4
Juraj Kolnik,4853,240,46,49,95,0.395833333,0,1,0,0,0,0,0,4
MacKenzie Weegar,1937,306,27,94,121,0.395424837,0,1,0,0,0,0,0,4
Kurtis Foster,4543,405,42,118,160,0.395061728,0,1,0,0,0,0,0,4
Wayne Bianchin,10362,276,68,41,109,0.394927536,0,1,0,0,0,0,0,4
Nicholas Ritchie,1572,407,71,89,160,0.393120393,0,1,0,0,0,0,1,4
Josh Morrissey,1764,423,40,126,166,0.392434988,0,1,0,0,0,0,1,4
Vladimir Konstantinov,7311,446,47,128,175,0.392376682,0,1,0,0,0,0,0,4
Denis Arkhipov,5064,352,56,82,138,0.392045455,0,1,0,0,0,0,0,4
Ken Yaremchuk,8714,235,36,56,92,0.391489362,0,1,0,0,0,0,1,4
Lindsay Carson,9372,373,66,80,146,0.391420912,0,1,0,0,0,0,0,4
Sean McKenna,9181,414,82,80,162,0.391304348,0,1,0,0,0,0,0,4
Paul Woods,9974,501,72,124,196,0.391217565,0,1,1,0,0,0,0,4
Sebastien Bordeleau,6219,251,37,61,98,0.390438247,0,1,0,0,0,0,0,4
Brandon Montour,1613,374,42,104,146,0.390374332,0,1,0,0,0,0,0,4
Noah Hanifin,1380,517,42,159,201,0.388781431,0,1,1,0,0,0,1,4
Nail Yakupov,1942,350,62,74,136,0.388571429,0,1,0,0,0,0,1,4
Jan Erixon,8970,556,57,159,216,0.388489209,0,1,1,0,0,0,0,4
Paul Gillis,8741,624,88,154,242,0.387820513,0,1,1,0,0,0,0,4
Pete Laframboise,10758,227,33,55,88,0.387665198,0,1,0,0,0,0,0,4
Ville Peltonen,6204,382,52,96,148,0.387434555,0,1,0,0,0,0,0,4
Greg Hotham,9886,230,15,74,89,0.386956522,0,1,0,0,0,0,0,4
Joe Colborne,2714,295,42,72,114,0.386440678,0,1,0,0,0,0,0,4
Cody Franson,3335,550,43,169,212,0.385454545,0,1,1,0,0,0,0,4
